DESCRIPTION_ID;"DATE_CREATED";"DATE_MODIFIED";"UPDT_ID";"DESCRIPTION";"NAME";"TITLE";LANGUAGE_ID;ZONE_ID
343;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Steiermark";;2;73
344;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Katen";;1;74
345;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Karten";;2;74
346;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Jaen";;1;75
347;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Jaen";;2;75
348;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Ciudad Real";;1;76
349;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Ciudad Real";;2;76
350;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Schwyz";;1;77
351;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Schwyz";;2;77
352;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Alava";;1;78
353;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Alava";;2;78
354;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Kansas";;1;79
355;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Kansas";;2;79
356;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Colorado";;1;80
357;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Colorado";;2;80
358;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Kentucky";;1;81
359;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Kentucky";;2;81
360;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Berlin";;1;82
361;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Berlin";;2;82
362;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Connecticut";;1;83
363;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Connecticut";;2;83
364;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Australian Capital Territory";;1;84
365;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Territoire de la capitale australienne";;2;84
366;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Thurgau";;1;85
367;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Thurgau";;2;85
368;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Louisiana";;1;86
369;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Louisiane";;2;86
370;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Hamburg";;1;87
371;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Hamburg";;2;87
372;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Tessin";;1;88
373;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Tessin";;2;88
374;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Lugo";;1;89
375;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Lugo";;2;89
376;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Neuenburg";;1;90
377;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Neuenburg";;2;90
378;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Tennessee";;1;91
379;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Tennessee";;2;91
380;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Toledo";;1;92
381;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Toledo";;2;92
382;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"District of Columbia";;1;93
383;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"District de Columbia";;2;93
384;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Palencia";;1;94
385;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Palencia";;2;94
386;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Delaware";;1;95
387;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Delaware";;2;95
388;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Texas";;1;96
389;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Texas";;2;96
390;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Tasmania";;1;97
391;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Tasmanie";;2;97
392;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Queensland";;1;98
393;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Queensland";;2;98
394;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Luzern";;1;99
395;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Luzern";;2;99
396;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Burgos";;1;100
397;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Burgos";;2;100
398;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Cadiz";;1;101
399;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Cadiz";;2;101
400;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Santa Cruz de Tenerife";;1;102
401;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Santa Cruz de Tenerife";;2;102
402;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Massachusetts";;1;103
403;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Massachusetts";;2;103
404;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Manitoba";;1;104
405;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Manitoba";;2;104
406;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Maryland";;1;105
407;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Maryland";;2;105
408;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Girona";;1;106
409;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Girona";;2;106
410;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Maine";;1;107
411;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Maine";;2;107
412;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Alicante";;1;108
413;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Alicante";;2;108
414;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Guadalajara";;1;109
415;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Guadalajara";;2;109
416;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Cantabria";;1;110
417;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Cantabria";;2;110
418;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Marshall Islands";;1;111
419;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Marshall Islands";;2;111
420;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Michigan";;1;112
421;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Michigan";;2;112
422;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Uri";;1;113
423;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Uri";;2;113
424;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Utah";;1;114
425;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Utah";;2;114
426;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Minnesota";;1;115
427;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Minnesota";;2;115
428;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Missouri";;1;116
429;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Missouri";;2;116
430;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Northern Mariana Islands";;1;117
431;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Northern Mariana Islands";;2;117
432;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Barcelona";;1;118
433;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Barcelona";;2;118
434;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Mississippi";;1;119
435;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Mississippi";;2;119
436;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Montana";;1;120
437;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Montana";;2;120
438;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Badajoz";;1;121
439;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Badajoz";;2;121
440;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Mecklenburg-Vorpommern";;1;122
441;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Mecklenburg-Vorpommern";;2;122
442;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Virginia";;1;123
443;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Virginie";;2;123
444;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Voralberg";;1;124
445;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Voralberg";;2;124
446;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Cuenca";;1;125
447;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Cuenca";;2;125
448;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Wien";;1;126
449;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Wien";;2;126
450;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Waadt";;1;127
451;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Waadt";;2;127
452;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Sevilla";;1;128
453;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Sevilla";;2;128
454;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Virgin Islands";;1;129
455;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Virgin Islands";;2;129
456;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Zaragoza";;1;130
457;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Zaragoza";;2;130
458;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"New Brunswick";;1;131
459;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Nouveau Brunswick";;2;131
460;"2017-04-16 22:59:09";"2017-04-16 22:59:09";;;"Sachsen-Anhalt";;1;132
